May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.153 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.166 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.168 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Emission factor before update: 0.06
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.190 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.197 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Emission factor updated: 0.059
May 18 09:42:04 CoreMP135 uv[21992]: 09:42:04.207 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Emission factor updated: 0.059
May 18 09:42:25 CoreMP135 uv[21992]: 09:42:25.966 [INFO    ] aas_agent.core.event_handler — Operation triggered: update_current_cf_submodel_path (via 'Stations[0].currentCFSubmodel')
May 18 09:42:25 CoreMP135 uv[21992]: 09:42:25.995 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] current_cf_submodel_path: 'https://admin-shell.io/idta/SubmodelTemplate/CarbonFootprint/1/0'
May 18 09:42:30 CoreMP135 uv[21992]: 09:42:30.273 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[0].triggeraggregation')
May 18 09:42:30 CoreMP135 uv[21992]: 09:42:30.280 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation started
May 18 09:42:42 CoreMP135 uv[21992]: 09:42:42.183 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 100: aggregation value: 0.0001638888888888887
May 18 09:42:54 CoreMP135 uv[21992]: 09:42:54.048 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 200: aggregation value: 0.0003277777777777788
May 18 09:43:05 CoreMP135 uv[21992]: 09:43:05.915 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 300: aggregation value: 0.0004916666666666701
May 18 09:43:17 CoreMP135 uv[21992]: 09:43:17.850 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 400: aggregation value: 0.0006555555555555615
May 18 09:43:29 CoreMP135 uv[21992]: 09:43:29.616 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 500: aggregation value: 0.0008194444444444528
May 18 09:43:41 CoreMP135 uv[21992]: 09:43:41.550 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 600: aggregation value: 0.000983333333333344
May 18 09:43:53 CoreMP135 uv[21992]: 09:43:53.385 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 700: aggregation value: 0.0011472222222222354
May 18 09:44:05 CoreMP135 uv[21992]: 09:44:05.275 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 800: aggregation value: 0.0013111111111111268
May 18 09:44:15 CoreMP135 uv[21992]: 09:44:15.005 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[0].resetaggregation')
May 18 09:44:15 CoreMP135 uv[21992]: 09:44:15.026 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation finished. Final value: 0.0014455000000000177
May 18 09:44:15 CoreMP135 uv[21992]: 09:44:15.064 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation value 0.0014455000000000177 posted as new entry in Scope-2 list
May 18 09:44:15 CoreMP135 uv[21992]: 09:44:15.133 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] PcfCO2eq updated: 100.02063066111111
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.043 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[0].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.052 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.055 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[1].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.059 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.063 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[2].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.066 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.069 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[3].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.072 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.075 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[4].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.078 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.081 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[5].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.085 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.087 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[6].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.099 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Aggregation started
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.100 [INFO    ] aas_agent.core.event_handler — Operation triggered: trigger_aggregation (via 'Stations[7].triggeraggregation')
May 18 09:45:36 CoreMP135 uv[21992]: 09:45:36.105 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Aggregation started
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.048 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Step 100: aggregation value: 0.0003277777777777774
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.052 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Step 100: aggregation value: 0.0001638888888888887
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.064 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Step 100: aggregation value: 0.0001638888888888887
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.096 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Step 100: aggregation value: 0.0003277777777777774
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.135 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Step 100: aggregation value: 0.0001638888888888887
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.252 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Step 100: aggregation value: 0.0003277777777777774
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.260 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Step 100: aggregation value: 0.0001638888888888887
May 18 09:45:49 CoreMP135 uv[21992]: 09:45:49.295 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Step 100: aggregation value: 0.0003277777777777774
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.558 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[0].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.607 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[1].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.609 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation finished. Final value: 0.00021961111111111085
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.672 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[2].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.674 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Aggregation finished. Final value: 0.0004424999999999995
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.691 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[3].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.716 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[4].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.718 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Aggregation finished. Final value: 0.00022124999999999974
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.744 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Aggregation value 0.00021961111111111085 posted as new entry in Scope-2 list
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.760 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Aggregation finished. Final value: 0.0004392222222222217
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.762 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[5].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.805 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Aggregation value 0.0004424999999999995 posted as new entry in Scope-2 list
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.856 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Aggregation finished. Final value: 0.00022124999999999974
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.870 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[6].resetaggregation')
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.890 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 1] PcfCO2eq not updated: no product submodel available
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.904 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Aggregation value 0.00022124999999999974 posted as new entry in Scope-2 list
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.917 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Aggregation value 0.0004392222222222217 posted as new entry in Scope-2 list
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.951 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Aggregation finished. Final value: 0.0004424999999999995
May 18 09:45:53 CoreMP135 uv[21992]: 09:45:53.953 [INFO    ] aas_agent.core.event_handler — Operation triggered: reset_aggregation (via 'Stations[7].resetaggregation')
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:53.965 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Aggregation finished. Final value: 0.00022124999999999974
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:53.981 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 2] PcfCO2eq not updated: no product submodel available
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:53.987 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 3] PcfCO2eq not updated: no product submodel available
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.033 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] PcfCO2eq updated: 100.02085027222222
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.045 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 4] Aggregation value 0.00022124999999999974 posted as new entry in Scope-2 list
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.076 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Aggregation finished. Final value: 0.00044577777777777725
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.109 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 5] Aggregation value 0.0004424999999999995 posted as new entry in Scope-2 list
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.142 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 4] PcfCO2eq not updated: no product submodel available
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.168 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 6] Aggregation value 0.00022124999999999974 posted as new entry in Scope-2 list
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.171 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 5] PcfCO2eq not updated: no product submodel available
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.187 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 6] PcfCO2eq not updated: no product submodel available
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.215 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 7] Aggregation value 0.00044577777777777725 posted as new entry in Scope-2 list
May 18 09:45:54 CoreMP135 uv[21992]: 09:45:54.232 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 7] PcfCO2eq not updated: no product submodel available
